ZipCode,Population
30304,0
30098,118
30291,20835
30268,7729
30305,29220
30213,39840
30092,0
30024,299
30097,26791
30022,69893
30005,32210
30076,46865
30350,37157
30338,420
30328,34922
30339,363
30308,20190
30313,9667
30296,4897
30336,1478
30337,12094
30344,33809
30354,16427
30310,27550
30303,6800
30315,34997
30307,6292
30314,23498
30306,15138
30324,25037
30326,4638
30311,33536
30309,28015
30318,61657
30363,4650
30334,0
30327,24491
30342,33900
30319,6479
30312,23315
30316,9573
30331,58282
30331,58282
30004,46742
30349,55831
30009,18396
30075,44809
30317,100
